INFO  - 2014-01-30 14:26:04.455; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071835566080)]} 0 1
INFO  - 2014-01-30 14:26:04.462; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071842906112)]} 0 0
INFO  - 2014-01-30 14:26:04.470; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071850246144)]} 0 1
INFO  - 2014-01-30 14:26:04.477; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071858634752)]} 0 1
INFO  - 2014-01-30 14:26:04.484; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071864926208)]} 0 1
INFO  - 2014-01-30 14:26:04.491; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071872266240)]} 0 1
INFO  - 2014-01-30 14:26:04.498; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071879606272)]} 0 1
INFO  - 2014-01-30 14:26:04.506; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071887994880)]} 0 1
INFO  - 2014-01-30 14:26:04.513; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071895334912)]} 0 1
INFO  - 2014-01-30 14:26:04.520; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071903723520)]} 0 1
INFO  - 2014-01-30 14:26:04.527; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071911063552)]} 0 0
INFO  - 2014-01-30 14:26:04.535; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071918403584)]} 0 1
INFO  - 2014-01-30 14:26:04.542; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071926792192)]} 0 1
INFO  - 2014-01-30 14:26:04.549; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071934132224)]} 0 0
INFO  - 2014-01-30 14:26:04.556; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071941472256)]} 0 0
INFO  - 2014-01-30 14:26:04.563; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071948812288)]} 0 1
INFO  - 2014-01-30 14:26:04.571; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071957200896)]} 0 0
INFO  - 2014-01-30 14:26:04.579; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071965589504)]} 0 1
INFO  - 2014-01-30 14:26:04.586; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071972929536)]} 0 0
INFO  - 2014-01-30 14:26:04.593; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071980269568)]} 0 0
INFO  - 2014-01-30 14:26:04.600; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071987609600)]} 0 0
INFO  - 2014-01-30 14:26:04.607; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692071994949632)]} 0 0
INFO  - 2014-01-30 14:26:04.614; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072002289664)]} 0 0
INFO  - 2014-01-30 14:26:04.622; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072010678272)]} 0 1
INFO  - 2014-01-30 14:26:04.629; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072016969728)]} 0 1
INFO  - 2014-01-30 14:26:04.636; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072025358336)]} 0 1
INFO  - 2014-01-30 14:26:04.643; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072032698368)]} 0 0
INFO  - 2014-01-30 14:26:04.741; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072135458816)]} 0 0
INFO  - 2014-01-30 14:26:04.748; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072142798848)]} 0 0
INFO  - 2014-01-30 14:26:04.756; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072151187456)]} 0 1
INFO  - 2014-01-30 14:26:04.763; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072158527488)]} 0 0
INFO  - 2014-01-30 14:26:04.771; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072165867520)]} 0 1
INFO  - 2014-01-30 14:26:05.164; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072579006464)]} 0 1
INFO  - 2014-01-30 14:26:05.175; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072590540800)]} 0 0
INFO  - 2014-01-30 14:26:05.183; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072598929408)]} 0 0
INFO  - 2014-01-30 14:26:05.191; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072606269440)]} 0 1
INFO  - 2014-01-30 14:26:05.198; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072614658048)]} 0 1
INFO  - 2014-01-30 14:26:05.207; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072623046656)]} 0 1
